before,after
krn,karena
gapapa,tidak apa apa
lho,loh
tlp,telepon
sring,sering
srng,sering
srg,sering
x,sangat
mncul,muncul
bngt,banget
sgt,sangat
banyakk,banyak
trmsuk,termasuk
nunggu,tunggu
niih,nih
tks,terima kasih
gausa,tidak usah
diselesaiin,diselesaikan
mukul,pukul
emang,memang
mmg,memang
ckup,cukup
ngasih,memberi
eta,itu
emg,memang
low,rendah
nyuruh,suruh
big,besar
applause,tepuk tangan
equal,setara
nggak,tidak
them,mereka
dimaksimalin,dimaksimalkan
gaada,tidak ada
disabled,disabilitas
workers,pekerja
dapet,dapat
yakinin,yakinkan
koq,kok
nerima,terima
dihargain,dihargai
recruiting,merekrut
ask,tanya
ngurusin,urus
action,aksi
plan,rencana
accelerating,mempercepat
monitoring,pemantauan
principles,prinsip
negaranegara,negara
disabilitasbaik,disabilitas baik
mikir,pikir
trs,terus
naek,naik
jugaaaaa,juga
brati,berarti
bangeeettt,banget
kesian,kasihan
kasian,kasihan
keselnye,kesal
seneng,senang
ngamuk,marah
dahlah,sudahlah
mean,berarti
bodo,bodoh
kcuali,kecuali
max,maksimal
keseteraan,kesetaraan
mulu,terus
hoax,hoaks
trmsk,termasuk
pdhl,padahal
cepet,cepat
cpt,cepat
diem,diam
plus,tambah
bijimana,bagaimana
security,keamanan
ngalangkung,melewati
ayeuna,sekarang
pokonamah,pokoknya
teu,tidak
kasentuh,tersentuh
pami,jika
deui,lagi
lepat,menyimpang
pdhal,padahal
dugi,ditolak
betull,betul
trmksh,terima kasih
salute,salut
hasilhasil,hasil
blum,belum
ngaku,mengaku
nyelakain,menyelakakan
pioritas,prioritas
kayaknya,sepertinya
kayanya,sepertinya
kyk,seperti
sono,sana
plis,mohon
ngurus,mengurus
congrats,selamat
pgn,ingin
ybs,yang bersangkutan
perusahaanperusahaan,perusahaan
kemajuanyg,kemajuan yang
atletatlet,atlet
ngebuat,membuat
gtu,gitu
jga,juga
brg,barang
bsa,bisa
makai,memakai
hrs,harus
smua,semua
ats,atas
smg,semoga
mikirramah,mikir ramah
klo,kalau
stuck,terjebak
kordinasi,koordinasi
kerjasama,kerja sama
offer,menawarkan
sajasaya,saja saya
gaistelkom,teman telkom
baerbagi,berbagi
baikbaik,baik baik
infonyaa,infonya
wheelchair,kursi roda
abangtks,abang terima kasih
pisan,banget
pejalan,jalan
mangkel,keras kepala
ngewajibin,mewajibkan
gausah,tidak usah
cewe,cewek
cowo,cowok
orangtua,orang tua
ortu,orang tua
ngapain,sedang apa
disamain,disamakan
goblok,bodoh
deck,kartu
mukulin,memukul
komersil,komersial
mara,marah
indo,indonesia
exp,kadaluwarsa
perfect,sempurna
process,proses
didispute,berselisih
sobatkomdaftar,sobatkom daftar
keknya,sepertinya
aminnnn,amin
mauuu,mau
tangankaki,tangan kaki
ketenagakerjaan,tenaga kerja
timurada,timur ada
lemm,lem
groupewg,grup
masingmasing,masing masing
disabilities,disabilitas
member,anggota
prov,provinsi
bathin,batin
temanteman,teman teman
kampenyakan,kampanye
kampayekar,kampanye
aturanaturan,aturan aturan
need,butuh
ergonomiperancangan,ergonomi perancangan
smasmksederajat,sma smk sederajat
helper,penolong
ketidaksinkronan,tidak sinkron
guiding,membimbing
positive,positif
ngelindungin,melindungi
marabahaya,bahaya
ngambil,mengambil
complete,komplit
pakbu,bapak ibu
finishnya,selesainya
bumil,ibu hamil
transportation,transportasi
gerakgerik,gerak gerik
menghimbau,mengimbau
feminis,feminisme
hamilbawa,hamil bawa
cowonya,cowok
ketidaknyamanannya,tidak nyaman
diprioritasin,diprioritaskan
women,wanita
disabilitasbantuan,disabilitas bantuan
study,belajar
support,mendukung
skil,kemampuan
disabilitasumum,disabilitas umum
disabilitasnya,disabilitas
allaaaaahhhhhh,alah
bullying,perundungan
orangorang,orang orang
priawanita,pria wanita
menikah,nikah
memanage,mengatur
awareness,kesadaran
insight,wawasan
semangatt,semangat
dijadiin,dijadikan
oramg,orang
lakilaki,laki laki
malaksanakan,melaksanakan
guahikzzz,saya
dilingkungan,lingkungan
peduliin,peduli
feel,merasa
gaakan,tidak akan
sorry,maaf
benerrr,benar
idupnye,hidupnya
disabilitasmau,disabilitas mau
pedestriantrotoar,pedestrian trotoar
mention,sebut
didudukin,duduk
neneknenek,nenek nenek
jawabgiliran,jawab giliran
disindirin,sindir
haidcuti,haid cuti
buruburu,buru buru
gunain,gunakan
dibangyb,dibangun
bumnkarena,bumn karena
bersamasama,bersama
social,sosial
diversitydimana,perbedaan dimana
pingin,ingin
penyebrangan,penyeberangan
berenti,berhenti
local,lokal
menyebrang,menyeberang
mengunakan,menggunakan
pelanpelan,pelan
toleransikebersamaan,toleransi kebersamaan
halangandengan,halangan dengan
not,tidak
fighting,bertengkar
penyaringannya,saring
difabilitas,disabilitas
berkekurangan,kurang
blmbayangin,bayangkan
ngelaju,melaju
tinggaltempat,tinggal tempat
benerbener,benar benar
ngaruh,pengaruh
kementrian,menteri
imbasnyaterutama,imbasnya terutama
mumpunikita,mumpuni kita
perempuanpekerja,perempuan pekerja
magangpekerja,magang pekerja
all,semua
mindset,pemikiran
negur,tegur
berharihari,berhari hari
goblokkoridor,bodoh koridor
nyambung,sambung
tanggalo,tangga kamu
gakramah,tidak ramah
gakklo,tidak kalau
dululolklo,dulu kamu kalau
ditindaklanjuti,tindak lanjut
friendly,berteman
bleeding,berdarah
disabilitashamil,disabilitas hamil
disabilitaslansiabumil,disabilitas lansia bumil
nyamanya,nyaman
dewe,sendiri
ekspenyandang,mantan penyandang
ekspenderita,mantan penderita
bnget,banget
skill,kemampuan
ngebikin,membuat
kerjapendidikan,kerja pendidikan
kewirausahaan,wirausaha
quality,kualitas
launching,meluncurkan
nondisabilitas,bukan disabilitas
mengandungmenyusui,mengandung menyusui
diproritasin,diprioritaskan
kpala,kepala
sebeneenya,sebenarnya
campaign,kampanye
eamah,ramah
penjagasecurity,penjaga keamanan
lansiadisabilitasibu,lansia disabilitas ibu
menggukan,menggunakan
ngantri,antre
malesnya,malasnya
nanggung,tanggung
difabellansia,difabel lansia
tgs,tugas
guideline,pedoman
national,nasional
lansiadisabilitas,lansia disabilitas
blt,bantuan langsung tunai
mikirin,memikirkan
ngajakin,mengajak
ngecek,cek
ngilangin,menghilangkan
gabisa,tidak bisa
titipanmiskinlulusan,titipan miskin lulusan
teslebih,tes lebih
slma,selama
industriindustri,industri industri
saudaratemannya,saudara temannya
disabilitaskemensos,disabilitas kemensos
penyandanh,penyandang
nonformal,tidak formal
opportunity,kesempatan
resource,sumber
meanwhile,sementara itu
dibutuhin,dibutuhkan
rules,peraturan
mesjid,masjid
ketidaknyamanan,tidak nyaman
antrinya,antre
crossinganpenyeberangan,penyeberangan
ditambahin,ditambakan
disablitasnahselama,disabilitas nah selama
formalkira,formal kira
solusinyayuk,solusinya yuk
melaunching,meluncurkan
disabilitassbnrnya,disabilitas sebenarnya
formallalubgmn,formal lalu bagaimana
kalianmemiliki,kalian memiliki
ttp,tetap
uoypmkdisabilitas,disabilitas
bestie,sahabat
diferensiasi,perbedaan
fakirpengemis,fakir pengemis
matikasian,mati kasihan
hamilserta,hamil serta
indonesiabiar,indonesia biar
sdsmpsmksederajat,sd smp smk sederajat
lakilakiperempuan,laki laki perempuan
difabeljangan,difabel jangan
ngelepas,melepas
nyesel,menyesal
enaqq,enak
menujukeluar,menuju keluar
mangkanya,makanya
diumumin,diumumkan
mrtmaupun,mrt maupun
ngelamar,melamar
nyri,cari
nntinya,nantinya
msk,masuk
gerakan,gerak
negri,negeri
terpotongpotong,potong
tdi,tadi
kemaren,kemarin
kamana,kemana
beneer,benar
bumillansiadisabilitasmembawa,bumil lansia disabilitas membawa
temennya,teman
naikturun,naik turun
worth,bernilai
dkt,dekat
sblmnya,sebelum
dibenerin,dibenarkan
disalahgunakan,salah guna
ngeluh,mengeluh
malem,malam
mewek,menangis
gatega,tidak tega
nasoinal,nasional
disabilites,disabilitas
skillnya,kemampuannya
bosanbosan,bosan
mejeng,diam
seller,penjual
cmn,Cuma
ningkatin,meningkatkan
frpd,daripada
bangettt,sangat
payandang,penyandang
strategy,strategi
kawankawan,kawan kawan
antriannya,antre
engap,sulit bernapas
rekanrekannya,rekan
jutabulan,juta bulan
dianggep,anggap
tnp,tanpa
nga,tidak
disediain,sedia
jalanjalan,jalan jalan
jwbannya,jawabannya
melukis,lukis
hdpnya,hadap
tibatiba,tiba tiba
sesksual,seksual
dalem,dalam
dibiarin,biar
krlgak,krl tidak
effort,upaya
dilewatin,lewat
dipesan,pesan
dibutuhkam,butuh
brsamaan,bersama
pguna,pengguna
brtahap,bertahap
skitaran,sekitaran
pnyebrangan,penyeberangan
mlayani,melayani
turunnaik,turun naik
progress,maju
difabeldisabilitas,difabel disabilitas
rasanyaa,rasanya
fungsidivisi,fungsi divisi
bayangin,bayangkan
ngerjain,kerja
monggo,silahkan
cakep,cakap
kutanya,tanya
dipake,pakai
bgi,bagi
training,latih
klau,kalau
bangke,bangkai
kenalankeluarga,kenalan keluarga
pertemuanpertemuan,pertemuan
nyempetin,sempat
ngumpulin,kumpul
dinasehatin,nasehat
dikasihkalo,dikasih kalau
univ,universitas
ngusir,usir
trust,percaya
menandatangani,tanda tangan
internaleksternal,internal eksternal
penyangdang,penyandang
nunjuk,tunjuk
berbedabeda,beda
penumpangtidak,penumpang tidak
tpi,tapi
termaginalkan,margin
terkadang,kadang
founder,penemu
investasibkpm,investasi bkpm
laluternyatapria,lalu ternyata pria
bgtt,sangat
stress,stres
aksesable,akses
etbanget,banget
karirkerja,karir kerja
berkursi ,kursi
diadain,ada
duluin,dulu
gamau,tidak mau
memperkejakan,kerja
tipstips,tips
tementemen,teman
loker,lowongan kerja
lanjutorang,lanjut orang
ngerasain,rasa
nangkringya,nangkring
gegara,gara gara
bangunin,bangun
gua,saya
ergonomi perancangan,ergonomi rancang
bangett,banget
lansiatj,lansia
rapih,rapi
dilebarin,lebar
disable,disabilitas
retakan,retak
planning,rencana
penyansang,penyandang
mningkatkan,meningkatkan
menandatanganinya,tanda tangan
mrupakan,merupakan
dgusur,gusur
disabilitaspa,disabilitas
ketrampilan,keterampilan
inikominfo,ini kominfo
mengecek,cek
deseldeselan,berdesakan
kemudian,kemudian
kerjakerja,kerja
sedekah,memberi
blbayangin,bayang
ngebantu,bantu
ngamukngamuk,ngamuk ngamuk
ngeliatin,lihat
maen,main
enggak,tidak
tdk,tidak
injinkan,izinkan
